,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
30 Hours,0.09074630500000005,0.23881355928571427,0.22574073571428574,-0.2836220578571428,0.2599803500000001,-0.12235986714285715,-0.3001246585714286,0.08716647999999999,-0.1975443642857143,0.26782405171428575,-0.32235552714285703,-0.051999628571428466,-0.27927090428571427,0.07807800999999999,0.6230577214285714,0.04154031428571428,0.0222755085714286,0.028080974999999998,-0.3926559364285715,-0.26070752857142876,-0.007216757142857154,0.3544476000000002,0.5481137928571428,0.23779179142857143,0.3179856357142857,-1.2036356428571426,-0.32212120714285714,0.1784284728571429,0.4824289885714285,-0.4494704071428571,2.6662414285714275,0.34148193571428553,-0.22319371428571427,0.31069600714285717,0.09301915357142863,-0.16458330714285715,0.23693059071428577,-0.007597881428571435,0.2824646,-0.0876183,-0.1758191035714286,0.22287906785714287,-0.05642610428571429,0.09200460571428573,-0.03961988571428572,0.025193222499999997,0.0822366857142857,-0.32570960714285707,-0.07080416642857139,0.3186797928571427
FML,0.03017660561797756,0.27008855056179776,-0.0124651573033708,-0.4238620910112359,0.36993977528089894,-0.10802999325842694,-0.22350870786516855,0.1978330202247191,-0.2148967191011236,0.4346337357303371,-0.15239243370786515,0.42134230337078654,-0.312315804494382,0.01009116853932584,0.5815522921348316,0.28915276404494383,0.35447360898876396,-0.09971878764044943,0.019372662921348316,-0.34250549438202244,-0.1941203707865168,0.4058209550561797,0.441935808988764,0.3734125842696629,0.6345015730337077,-1.407261573033708,-0.8255729213483146,0.04448338202247192,0.5794682966292135,-0.7112902584269662,2.661442584269663,0.3731111460674157,-0.3263994831460673,-0.009252847191011247,-0.0968246629213483,-0.1687418988764045,0.21013112022471903,-0.2149052011235955,0.027895146067415735,-0.31579277528089883,-0.17287475842696626,-0.015421412359550562,-0.1412633146067416,0.19026500449438205,0.059914752808988773,0.08181228539325842,0.06062587640449439,-0.4038734494382023,-0.11755577865168536,0.2334441011235955
Facts (Charlie Heat Version),0.040635723529411756,0.10595426470588236,0.005039127450980399,-0.31036564803921574,0.25166762745098037,-0.029331395098039205,-0.2225395666666666,0.022402788235294128,-0.16552593137254895,0.2768242941176471,-0.14517726862745095,0.24219959803921573,-0.16559792745098043,0.08697519607843136,0.4000119019607844,0.0888041862745098,0.13384530980392156,0.043231869607843164,-0.03371105980392159,-0.26033572549019607,-0.20555892549019608,0.25943470588235285,0.334580774509804,0.16118880392156862,0.41093643137254904,-1.0102318627450981,-0.6043822058823531,0.18485699019607837,0.4035219254901961,-0.49624272549019605,1.9067526470588234,0.2916313823529412,-0.1200868725490196,0.14093240784313724,-0.012755905882352928,0.003370311764705881,0.11382134019607844,0.0015282886274509894,0.136272137254902,-0.2207341078431373,-0.1246671960784314,0.10280124705882354,-0.07963723333333335,0.14284512549019607,0.13505809803921573,0.007626960784313727,0.02544423529411765,-0.19502815686274502,0.03319125784313725,0.1910906862745098
Fade,0.07985256625766872,0.2877872944785276,0.09343404294478526,-0.3960040987730061,0.3466223680981596,-0.036277461963190184,-0.17292523312883437,0.3118083858895706,-0.22885395705521475,0.32727218404907976,-0.2033993411042945,0.14243722085889568,-0.2373955374233129,0.1762113926380368,0.16904683435582823,0.2514799018404908,0.36433858895705523,0.03154075276073618,0.006921118404907975,-0.4051905337423313,-0.47908760122699395,0.5897597055214725,0.37329251533742336,0.15976446012269938,0.5897131288343559,-1.2341533742331288,-0.6468038159509203,0.5541716932515338,0.6834511496932518,-0.5506907809815951,2.4671472024539884,0.41523831288343555,0.08965611042944785,-0.0012942134969325286,-0.2293260613496932,-0.02487309815950917,-0.014604791411042952,-0.1096440261349693,0.18462117177914109,-0.28637933742331284,-0.07197984049079757,0.0489832245398773,-0.03691092760736196,0.3034201533742332,0.07637556441717792,0.1342556319018405,-0.13262567484662577,-0.26346250797546006,-0.16081655766871172,0.004923171779141113
Famous,0.06754295209302329,-0.11528732279069775,0.4359639860465116,0.029853022790697705,-0.47002841860465117,-0.47415469069767463,0.12144790000000005,-0.16263257302325587,-0.10269031627906978,0.4137144930232558,-0.1963797144186047,-0.021964376744186047,-0.4670686632558141,-0.16587866046511626,0.12846423255813955,0.180813,0.3837914697674418,0.44754673255813965,0.18679288837209299,0.4613524046511626,-0.4906086390697675,0.39649692558139527,0.24117667441860458,0.09187524930232555,0.40828575813953477,-0.5468053953488372,-1.0678890837209303,0.2308760609302326,-0.16266279348837198,-0.8960316665116274,0.8124016744186046,0.2101501906976744,-0.17040687906976743,0.6038318837209304,-0.07916697069767446,0.11378566511627894,0.1511307023255814,-0.5725397316279071,0.613248441860465,0.033454688372093026,-0.24139959767441857,0.24112845348837217,-0.1637654493023255,-0.48607510976744167,-0.09076865581395353,0.16027580930232554,0.08349071627906975,-0.13188389209302326,0.08952021581395346,-0.2662165823255813
Father Stretch My Hands Pt. 1,-0.008195675531914897,0.06349681914893622,0.20687919148936168,-0.2676472792553191,-0.07606617021276595,-0.23380208510638298,0.0025555744680851064,0.3238734627659575,-0.33157214893617026,0.4182109574468086,-0.2098446021276596,0.2793403617021276,-0.22944397872340425,0.15395262936170212,0.27713494680851064,0.22321399999999997,0.3239905319148936,0.009085861702127654,0.1105246489361702,-0.30426691489361696,-0.22153077234042554,0.2135278936170213,0.5488297127659575,0.5084120319148936,0.5153291489361702,-1.1815167021276596,-0.9467510638297871,0.026001512765957437,0.14185469361702124,-0.7890271702127659,2.1635389361702124,0.43902172340425527,-0.14476255319148937,0.3092926680851064,-0.03406562340425532,-0.22047574468085104,0.2788765319148936,-0.24535630212765958,0.1702792659574468,-0.39191945744680845,-0.17317160106382978,0.06137644787234043,-0.14677572978723405,0.012897446808510661,0.3082912978723404,-0.017163851063829776,0.04864944680851066,-0.4744153404255319,0.0037458265957446986,0.3322570106382979
Feedback,-0.01569612168674699,0.06406329638554216,-0.022979325301204834,-0.3356787722891567,0.31179927710843375,-0.02886554578313251,-0.2670346903614457,0.2828351674698795,-0.20003265060240966,0.33599617590361447,-0.24145527710843367,0.29697333734939757,-0.3463114771084338,-0.0018790722891566193,0.5630226265060242,0.05543085542168673,0.1530192542168675,-0.07253765180722893,-0.07832807469879517,-0.44349596385542184,-0.14047192289156624,0.29474490361445776,0.3251792409638555,0.07088713253012047,0.4487845542168675,-1.5187525301204818,-0.49335316867469897,0.07046509397590361,0.5144146843373494,-0.5039598795180723,2.8074359036144583,0.4199515542168674,-0.2443190481927711,0.01693919277108434,-0.06616264337349397,0.016963884337349387,0.1197768,0.047515160240963805,0.12750183132530124,-0.43121066265060254,-0.16335780722891566,0.1181942686746988,-0.21114648433734945,0.21027915662650598,0.1200968072289157,0.014106277108433736,0.03273690361445782,-0.11997796385542171,-0.06653692891566265,0.237199421686747
Frank's Track,0.4527192999999999,0.39458666666666664,-0.24641366666666664,-0.2220339,0.6342566666666666,0.5560016666666666,-0.274205,-0.2544166666666667,0.19923100000000002,0.13391666666666666,0.026061666666666688,0.04060183333333333,0.16622333333333333,-0.09818533333333335,0.35422283333333326,-0.089117,-0.22118933333333335,-0.21407333333333334,-0.5031206666666667,-0.31439500000000004,-0.18050416666666666,0.33414666666666665,0.5789816666666666,0.03869916666666665,0.4062613333333333,-1.3375933333333334,-0.8155166666666668,0.37985833333333324,0.24245819999999998,-0.263775,2.873216666666666,-0.8448055,0.2402755,-0.6100949999999999,0.27164166666666667,0.15745,0.19805833333333334,0.09181466666666667,0.08684166666666664,0.09974083333333333,0.131604,0.16586316666666667,0.29844783333333336,0.29053499999999993,0.14803299999999997,0.11082833333333335,0.0018200000000000067,-0.4530923333333334,0.08771383333333338,-0.3906621666666667
Freestyle 4,-0.22973332535211263,0.05639715492957745,0.05304611267605634,-0.46181815633802814,0.31216521126760555,-0.11179423098591543,-0.17895343661971835,0.03926502816901409,-0.11224380281690141,0.43264873239436635,-0.20000562591549295,0.36165474647887313,-0.33266195211267613,0.16506100000000007,0.3117664366197182,0.15676654929577463,0.4292324788732395,-0.10257172957746481,0.18524161408450707,-0.09958454929577468,-0.4659002676056337,0.20118038028169014,0.41070502816901405,0.33504304225352105,0.5131956464788732,-1.1976205633802819,-0.8544532394366199,0.2847190845070423,0.5821196366197184,-0.8492474647887326,2.1571989577464787,0.286851718309859,-0.3280533098591549,0.39067133802816906,-0.2340644647887324,-0.03282337464788733,0.30488195774647886,-0.27293243661971833,0.14721378873239435,-0.2727586197183098,-0.1113018943661972,-0.052312145070422575,-0.3981761042253522,0.22460854084507037,-0.025480253521126726,-0.08215812112676052,0.019921873239436592,-0.2825909014084507,0.1663219197183099,0.17252962816901413
Highlights,0.013268210322580645,0.17607066064516125,0.04282906451612904,-0.4186181941935481,0.4026099548387097,-0.12042566645161291,-0.27116206451612906,0.12587450967741937,-0.17069752258064513,0.29613543303225803,-0.162589708516129,0.43841710322580646,-0.25873782322580646,0.03219654516129033,0.5030565419354838,0.2971589161290322,0.2495516464516129,0.018705585806451624,0.03999832838709678,-0.2453241141935484,-0.27957890838709676,0.35270350322580646,0.46296630967741936,0.3046481612903226,0.5646906064516128,-1.4174207741935487,-0.8322081870967741,0.16061985806451617,0.5771483238709677,-0.727309470967742,2.430198670967742,0.41495154193548384,-0.31578697419354845,0.17490856774193547,-0.018575303225806458,-0.07033440387096775,0.1929313464516129,-0.15745241419354847,0.2754482300645161,-0.3309515677419355,-0.19183237741935488,0.06674807161290322,-0.20102000387096777,0.15384836774193544,0.13084021935483872,0.040957708387096795,0.006356238709677417,-0.37769955483870965,0.09163929806451618,0.3253150148387097
I Love Kanye,-0.4515461860465114,0.5553974023255814,0.20024983720930226,-0.23110106976744182,-0.32466093023255815,0.0754184418604651,-0.19791393023255813,-0.015037451162790693,0.17571209302325577,1.2341985376744184,-0.25841118604651164,0.280290976744186,-0.28819930232558144,-0.030700037209302332,0.05824860465116282,0.2510477441860465,0.5187361930232559,-0.21176168837209303,0.3101400930232558,0.09820104651162788,0.04461097674418603,0.5631135813953487,0.6433388604651163,0.28642269534883724,0.21534369767441855,-0.9310939534883722,-0.9524832558139537,0.10931146511627902,0.11387639534883723,-0.8556668837209304,1.5802795348837206,0.18300958139534884,0.3124171162790698,0.07336453488372092,0.48666905813953504,-0.10419188372093019,0.35506841860465116,-0.21417765116279072,-0.313164023255814,-0.5083676976744186,-0.29771920930232565,0.3926646860465116,-0.22454835813953497,-0.6278979069767441,0.5633559767441859,-0.20682116279069776,-0.06868860465116278,-0.6733903255813953,-0.04780558837209302,0.26301511627906965
Low Lights,0.02424350588235295,0.24628792156862744,-0.0414237450980392,-0.40300970588235274,0.547536862745098,-0.22179882352941177,-0.35003396666666664,0.23037500392156865,-0.24544903921568625,0.35118411764705887,-0.23082874509803925,0.32756984313725496,-0.3367546078431372,0.041878949019607835,0.8017601764705882,0.3601026274509805,0.40271409803921576,0.10779850980392157,-0.10706493725490197,-0.5514027058823531,-0.22778892156862743,0.5880054901960784,0.451179156862745,0.2235068431372549,0.7681658235294119,-1.5684433333333334,-0.8571141176470587,0.18001676666666672,0.7291498039215686,-0.6385958431372549,2.9283901960784315,0.6245056274509805,-0.35802750980392156,0.0598493725490196,-0.13872876470588238,-0.1973506431372549,0.16989495490196077,0.00926331764705882,0.17534789862745098,-0.38652745098039226,-0.3475837058823529,0.0581391294117647,-0.13383988627450985,0.27432237254901964,0.12048466666666666,0.10612331372549018,-0.14944176470588236,-0.39345226274509804,-0.09264519411764706,0.432990294117647
No More Parties In LA,0.033203630735930745,0.15189119999999998,0.15124034199134198,-0.325706377056277,0.358360090909091,-0.023951983982683982,-0.3674311956709958,0.09496863073593076,-0.1879641774891775,0.24239708588744588,-0.22130835930735931,0.3176221515151515,-0.2673746173160173,0.05821395887445888,0.5039116753246752,0.19900931601731603,0.2542294601731602,-0.043759241991342006,0.0833155692640692,-0.33112076666666673,-0.21327010476190472,0.3006603030303031,0.3969663290043291,0.27805527575757577,0.405936496969697,-1.5544813419913428,-0.6561055584415585,0.07673599134199136,0.35858246926406917,-0.5781250372294371,2.581098917748918,0.4641022164502165,-0.3580024632034632,0.15514947532467527,-0.09849052164502166,-0.11656749090909088,0.0688613645021645,-0.08926355497835499,0.2256142460173161,-0.3583292121212121,-0.17951096320346321,0.23808328744588733,-0.19961578008658004,0.15590519653679652,0.18148326839826842,0.006927906493506491,-0.18342150216450215,-0.32467370129870116,0.09587908658008659,0.22574706926406923
Pt. 2,-0.2012823200000001,0.24642461818181816,-0.023182781818181813,-0.49721258363636356,0.25782592727272724,-0.05325860545454546,-0.301514769090909,0.06939967272727274,-0.2909085090909091,0.43792537672727266,-0.30846000000000007,0.3092617454545454,-0.2954007018181818,0.1278732363636364,0.2926172545454545,0.11770081818181817,0.25331855090909083,-0.057730236363636354,-0.08146523454545454,-0.15231861818181813,-0.3039538909090909,0.30781400000000003,0.4977241454545454,0.2713826181818182,0.4574356,-1.3709176363636364,-0.7923983454545455,0.3386343836363636,0.49202186545454535,-0.7407044,2.381618,0.26247159999999997,-0.018914999999999987,0.29773067272727277,0.056015721818181825,-0.04269263636363638,0.1451984181818182,-0.0834041981818182,0.1148392727272727,-0.31688910909090917,-0.15970061818181824,0.14906416000000003,-0.1936607200000001,0.06344772363636363,0.16833649090909095,0.07912570909090909,0.035559890909090903,-0.39759727272727274,0.03161647454545456,0.1317138909090909
Real Friends,0.09314767999999998,0.2795982666666666,0.05731621666666666,-0.3097222854166667,0.3276097750000001,-0.07514915166666665,-0.4650490666666666,0.15462009,-0.27896774166666666,0.45482437500000006,-0.24058516666666663,0.36758197500000006,-0.29992763333333333,-0.09922640499999999,0.4466996833333335,0.05933965,0.32657533499999997,-0.060425291666666665,-0.004204732499999989,-0.2469543975000001,-0.19797369666666667,0.29394769999999987,0.2770824333333334,0.3453105166666667,0.3936534166666667,-1.3528718333333327,-0.6774359833333332,0.04926416666666668,0.423419305,-0.5795718799999999,2.4703952,0.23410087500000004,-0.029729266666666667,-0.03726003333333335,0.04907373750000001,-0.037630483333333326,0.014889495000000011,-0.04933008333333334,0.10535636666666673,-0.32536065833333344,-0.08638253750000001,0.19748414000000006,-0.18842529500000002,0.1073098066666667,0.16126022499999995,-0.03614730333333335,-0.1104897,-0.3372374133333333,0.05283023583333337,0.23431803333333343
Saint Pablo,0.12949988487394953,0.3932813781512605,0.0006391321008403023,-0.33399387310924367,0.544573680672269,-0.15430662268907563,-0.43843748235294117,0.19003925420168075,-0.2652740210084033,0.25639174991596647,-0.18847113117647057,0.31945770168067233,-0.363373512605042,0.04013233613445378,0.4882902563025211,0.2609756050420169,0.2200048483193277,0.013211509243697473,-0.2825847172268908,-0.2912945016806723,-0.24016007226890757,0.5050364453781512,0.301188731092437,0.24884533571428574,0.4542665756302521,-1.43216550420168,-0.7920938865546219,0.2316551470588235,0.4091308050420169,-0.649634811764706,2.3766227310924375,0.35927282352941176,-0.16614477731092436,0.048107975630252105,-0.05360772689075633,-0.20094125210084035,0.2489891529411765,-0.24059906470588227,0.2508956685294118,-0.1828490588235294,-0.1382789138655462,0.1534559529411765,-0.2497840067226891,0.14896363025210083,0.15281578151260508,0.11757481932773112,-0.2296786890756303,-0.4818240831932772,-0.0263488012605042,0.2074121525210084
Siiiiiiiiilver Surffffeeeeer Intermission,-0.044619163999999996,0.26032475999999993,-0.03159884000000001,-0.3224986000000001,0.7302044000000001,-0.006946604000000003,-0.38806804000000006,0.17572004800000002,-0.20230384,0.37930476479999997,-0.14643859999999997,0.46665399999999996,-0.4334236000000001,0.11810159999999996,0.7292115999999998,0.11101551999999999,0.36418896000000006,0.20600628,-0.019501952000000003,-0.32027308000000004,-0.48827479999999995,0.6269596000000002,0.35848524000000004,0.31139864,0.7174144,-1.5695948,-0.8479385200000001,0.1478712,0.7190124,-0.7467384,2.3252403999999998,0.3775100000000001,-0.32663816000000007,0.15479623999999997,-0.023479356000000003,-0.048384399999999994,0.078414668,-0.01832894400000001,0.3129444,-0.4467063999999999,-0.15025550000000001,0.09108701599999998,-0.08071688000000002,0.243654256,0.305055,-0.04538488000000001,-0.06202124,-0.38932164,0.11282960000000002,0.42201639999999996
Ultralight Beam,0.12685762784090915,0.3016435602272728,-0.06710977534090906,-0.4013585914772726,0.674706909090909,-0.07991762272727275,-0.20284422272727276,0.11479002840909094,-0.2705044431818182,0.3777442327272728,-0.12953334113636367,0.4889268977272726,-0.2775687079545455,-0.03017219886363638,0.4475449147727272,0.32508661363636365,0.3324718085227273,0.047275011931818184,-0.02499250681818185,-0.3970060267045456,-0.3384699261363636,0.48372053409090904,0.29178992045454544,0.17812741420454548,0.6927299659090909,-1.4665285795454546,-0.8795630681818182,0.07301923863636366,0.5115245477272728,-0.6836342954545458,2.6129154545454556,0.39702325,-0.38875949431818185,-0.11095654886363641,-0.11087411875000003,-0.1356713693181818,0.25113309943181816,-0.23124943806818168,0.04660594221590909,-0.2699974772727273,-0.12028411079545459,0.015854476704545477,-0.25808449999999983,0.1837630375,0.056128647727272725,0.31899200568181824,-0.19495610795454546,-0.32084095227272724,-0.11776193352272729,0.20441830454545454
Waves,0.015773479452054803,0.19512730136986303,0.1786339178082192,-0.41169446712328767,0.3137461643835615,0.03339821506849316,-0.16233342739726028,0.16365167534246577,-0.19844105479452057,0.2880728389041096,-0.29186776712328766,0.22836105479452054,-0.3554059260273973,0.11522942465753423,0.44422382191780824,0.30708123287671235,0.4292735616438356,0.03602214246575341,0.030678757534246565,-0.42440841095890414,-0.2467342109589041,0.35527909589041096,0.5720013698630136,0.4050553808219179,0.5581400547945206,-1.2079042465753427,-0.7995882191780821,0.382467506849315,0.5484488821917808,-0.8913905753424657,2.312670136986301,0.34682467123287664,-0.17199879452054795,0.2559604465753424,-0.02482625342465754,-0.11664953424657534,0.2616059726027397,-0.18947975342465762,0.25085372136986306,-0.2956122465753424,-0.17517882191780823,0.020336816438356168,-0.16433945205479453,0.13220639452054794,0.18468887671232878,0.02493321917808219,0.17341032876712328,-0.3860699589041096,-0.039197427397260266,0.22501993150684932
Wolves,0.028675720491803263,0.0939489081967213,-0.030851350655737717,-0.2137359262295082,0.3932909344262296,0.08976517213114751,-0.4481517590163935,0.12289671803278689,-0.09965160655737702,0.2941886885245902,-0.09212519672131146,0.33884131147540975,-0.15513918032786878,-0.07843868852459017,0.48939984426229527,0.15834973770491806,0.40661462295081957,-0.16388810737704923,-0.19036408934426233,-0.22802931967213116,-0.4912060590163934,0.19156727049180328,0.4589406393442623,0.17045004098360655,0.5238574836065573,-1.344795573770492,-0.6716824836065571,0.156509,0.5915775622950818,-0.7359674204918034,2.4588691147540986,0.2761440081967213,-0.1059466950819672,0.08416456229508194,-0.08062349508196721,-0.05909052459016392,0.05076575409836063,-0.0974202393442623,0.17605182786885243,-0.36641172131147537,-0.17525168442622951,0.015643335245901627,-0.030468491803278666,0.16473019344262294,0.28949136885245896,0.07414395081967214,-0.07889554918032785,-0.26683398524590163,0.08671999967213115,0.16078462295081974
