,100 Shooters (feat. Meek Mill)_Future,Babushka Boi_A$AP Rocky,Baby Birkin_Gunna,Baby Sitter (feat. Offset)_DaBaby,Bad Bad Bad (feat. Lil Baby)_Young Thug,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)_Mustard",Ballin' (feat. Roddy Ricch)_Mustard,Bezerk (feat. A$AP Ferg & Hit-Boy)_Big Sean,Broke As Fuck_YBN Cordae,Bussin (feat. Lil Pump)_Blueface,Camelot_NLE Choppa,Cash Shit (feat. DaBaby)_Megan Thee Stallion,Daddy (feat. Rich The Kid)_Blueface,Did It Again_Lil Tecca,Enemies (feat. DaBaby)_Post Malone,F.N_Lil Tjay,Handsome_Chance the Rapper,Hot (feat. Gunna)_Young Thug,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign)_Megan Thee Stallion,Hot Shower_Chance the Rapper,Jet Lag_A$AP Ferg,Mac 10_Trippie Redd,Money In The Grave (Drake ft. Rick Ross)_Drake,My Type_Saweetie,No Cap (feat. Rich The Kid)_83 Babies,No Guidance (feat. Drake)_Chris Brown,On The Road (feat. Meek Mill & Lil Baby)_Post Malone,Pose (feat. Lil Uzi Vert)_Yo Gotti,Ransom_Lil Tecca,Richer Than Errybody (feat. YoungBoy Never Broke Again & DaBaby)_Gucci Mane,Saint-Tropez_Post Malone,Satish_Tee Grizzley,Self Control_YoungBoy Never Broke Again,Shotta Flow (Feat. Blueface) [Remix]_NLE Choppa,The London (feat. J. Cole & Travis Scott)_Young Thug,Through Da Storm_Polo G,Uno_Ambjaay,Won't Be Late (feat. Drake)_Swae Lee
Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign)_Megan Thee Stallion,0.9590419405672667,0.9321535117943779,0.9751606403930347,0.9737775062287906,0.9622484402230675,0.9540643618494018,0.967340164525707,0.9735495861843573,0.9670399588436623,0.9060861641415744,0.9667479733693454,0.945527040396493,0.9245272681083689,0.9577208783153907,0.9622251418949105,0.9279288714287672,0.9686516543621684,0.9495155695317611,1.0,0.949397387346439,0.9616370940283425,0.9646859348761705,0.9782095251645824,0.9514656121426197,0.9657589116827634,0.9847898218273022,0.9264632184858173,0.8766790354725589,0.945036789640172,0.9670237061331712,0.9422177287967477,0.9631596905213151,0.9426668560559934,0.9724755291375587,0.9759854764276066,0.9682380557058625,0.9653663152841279,0.9716018947471671
Hot Shower_Chance the Rapper,0.9036954544252456,0.8893760059158382,0.9357122396874511,0.9516061785781675,0.9186774406937803,0.8926610084736238,0.9168720111440137,0.947469203392173,0.9522927520230204,0.8893724813962309,0.9455264672372894,0.9453499175763709,0.9495432924080911,0.926670752391366,0.9080902728440426,0.9041833761184644,0.941747259877669,0.8831533084446455,0.949397387346439,1.0,0.9326093635389884,0.956564187281836,0.9405502199950883,0.9160287465678276,0.9206942704682517,0.9462157289848812,0.8605415491131218,0.835625510281061,0.8894522370468361,0.9149056357499392,0.91414507032914,0.897158890000073,0.8879595966251274,0.9608780686816936,0.9365500612853753,0.9142298394528835,0.9052002747798049,0.9288444694472356
Jet Lag_A$AP Ferg,0.9604246321140234,0.93088702293344,0.9744845648134279,0.956113763941002,0.9694681462237388,0.9550739858179961,0.9711356532148472,0.9604440903640861,0.9643905221206358,0.873475870223853,0.949480453408415,0.9230933519773608,0.9081941939500142,0.9432400445530927,0.9579366716253142,0.9038354130054724,0.9544860141816504,0.9438981278026435,0.9616370940283425,0.9326093635389884,1.0,0.9384723867726513,0.9685776536812992,0.9401411298463653,0.9601019625950011,0.9579006770695359,0.9326902632200205,0.8767512388090382,0.9457061810712182,0.963978603416979,0.9418285354126184,0.9581828172537403,0.9509603667361256,0.9549882498700831,0.9689054348962791,0.9582919169393943,0.9695687788452475,0.9484647843482265
Mac 10_Trippie Redd,0.9287373974213111,0.9075579494749962,0.9474865169761394,0.9714998479469078,0.9285424921522776,0.9059925909597842,0.9473199513121854,0.9660709720798688,0.9632631990130238,0.8695357005278009,0.9820981782884407,0.9597965356922887,0.9117247255007295,0.9584731219151948,0.9187836103762205,0.9460525089939986,0.9378448832630961,0.902808545174333,0.9646859348761705,0.956564187281836,0.9384723867726513,1.0,0.9624766180978366,0.938924728502322,0.9685835360963901,0.9528834635086195,0.866079021233367,0.8566101333247143,0.8991164329147249,0.9263385772434014,0.9112140364958955,0.9158511342501205,0.8974628961906245,0.9878852648822904,0.9471410710066758,0.9233719411466121,0.9285333862643967,0.9277395926488753
Money In The Grave (Drake ft. Rick Ross)_Drake,0.9709290626700195,0.9440084265196047,0.9810465528820398,0.9839590279499341,0.9735442096201303,0.9658965752720298,0.9829973312931872,0.9859908972810937,0.97747610794804,0.8984209849510403,0.979747931419755,0.9382469723596883,0.9211226680917785,0.9742975201318599,0.9720603081711845,0.9384594643791843,0.971761579295423,0.9354930341072338,0.9782095251645824,0.9405502199950883,0.9685776536812992,0.9624766180978366,1.0,0.9529884208113294,0.9774923757865469,0.9806648406911475,0.9367956109858687,0.8840299803944949,0.9639513465409116,0.9795372054464427,0.9360037446777634,0.9779708615260949,0.9642539537576346,0.977638137187772,0.9879540259661064,0.9810025202897823,0.9766860760799839,0.9739730898618284
My Type_Saweetie,0.9409558499607686,0.9248163700456582,0.9395330215086993,0.9437787895256401,0.943866447989214,0.9238286637555673,0.9564622879358942,0.9424728405385937,0.9463900175273984,0.886503071616317,0.949158685189797,0.9046682350340681,0.8898701809459489,0.9276206313845904,0.9343806933131733,0.9192368817883176,0.9369594811064429,0.9260270999493816,0.9514656121426197,0.9160287465678276,0.9401411298463653,0.938924728502322,0.9529884208113294,1.0,0.9613660933726402,0.9416286229616704,0.9069517826972758,0.8728279761023299,0.9116520071975991,0.942784771312003,0.9256401718850873,0.9406736266868045,0.9202825128902652,0.9527488418850025,0.9380068912870153,0.9345026326173563,0.9478982712469376,0.93205921001204
No Cap (feat. Rich The Kid)_83 Babies,0.96254728634455,0.9420961057136431,0.9704154064600606,0.9681756019191537,0.953397960290532,0.9478358789479991,0.9791890985891295,0.9613540273042986,0.9637677052922252,0.8771277013038304,0.9701200226927236,0.9274256695309079,0.8958266727859905,0.9519707033252293,0.951256566401419,0.9344487392543795,0.9561683348142206,0.9429869880014928,0.9657589116827634,0.9206942704682517,0.9601019625950011,0.9685835360963901,0.9774923757865469,0.9613660933726402,1.0,0.9512743387213487,0.9225767504449401,0.9037730368901645,0.9407316505513382,0.9653057829227887,0.9238269814240444,0.9606218066862938,0.9471880275701029,0.9705239712553019,0.9587395212783951,0.9554351086050529,0.9638133769347547,0.9412941371018918
No Guidance (feat. Drake)_Chris Brown,0.952493302153879,0.9369413837943402,0.9713141589175841,0.9751114118478373,0.9611737371742946,0.9582197068237804,0.9600817616878348,0.9785558592245908,0.9651406947919088,0.9149244028093083,0.9615573708241083,0.9331918563218543,0.9295004942241892,0.9612824907087455,0.9619729637475322,0.9200698482117247,0.9702008139317962,0.9300992782163228,0.9847898218273022,0.9462157289848812,0.9579006770695359,0.9528834635086195,0.9806648406911475,0.9416286229616704,0.9512743387213487,1.0,0.9281067858482409,0.8605624121258447,0.9576224084577231,0.9672017395762609,0.945344600620953,0.9640000529514239,0.9488232405423009,0.9681648111201003,0.9805500900544475,0.9701666853831883,0.9632226756120366,0.9856494144753783
On The Road (feat. Meek Mill & Lil Baby)_Post Malone,0.9367405362457619,0.9445137877164964,0.9549211582590662,0.9117769602312946,0.961294557553179,0.9774099326952531,0.9430774273340459,0.9156848148425606,0.9096938355331968,0.8808366966342858,0.8829254669796228,0.8724492679660794,0.8479083130991688,0.8790739412458718,0.9649947142516061,0.8315555889531994,0.9462847212925256,0.9405089047197487,0.9264632184858173,0.8605415491131218,0.9326902632200205,0.866079021233367,0.9367956109858687,0.9069517826972758,0.9225767504449401,0.9281067858482409,1.0,0.8882212169713314,0.9717130790894638,0.964020883605528,0.9398287859578951,0.9700979200869252,0.974283054864516,0.883726836074712,0.9576063654814047,0.9679706323226901,0.9572749812756307,0.9392779082382761
Pose (feat. Lil Uzi Vert)_Yo Gotti,0.8717633237580665,0.8979329919406027,0.8933657288568867,0.8634787509255557,0.8913869482059963,0.8982971611545771,0.884113098312971,0.8660917247864038,0.8585510411576637,0.8311998245728721,0.8625417839714801,0.8456692449039174,0.7963508551239326,0.8239434289317931,0.8944814873999172,0.8087525844317257,0.9046025730139301,0.8704998138383176,0.8766790354725589,0.835625510281061,0.8767512388090382,0.8566101333247143,0.8840299803944949,0.8728279761023299,0.9037730368901645,0.8605624121258447,0.8882212169713314,1.0,0.8922180494023529,0.900334280914666,0.8511884271302929,0.9011658797282517,0.9013014820842319,0.8642352333551294,0.88499017643063,0.8976290327527046,0.8817476220766047,0.8605106550696605
Ransom_Lil Tecca,0.9544448312204519,0.9554124032175044,0.9690245505777892,0.9432339803213619,0.9629390784871498,0.987989732667015,0.9533377450847862,0.9430202430725847,0.928359178462554,0.9054655742202692,0.9131198268491973,0.8898600335023963,0.8881782423862233,0.9178838221196233,0.9730887633352655,0.8583825881111555,0.9637784365285413,0.9424636780486982,0.945036789640172,0.8894522370468361,0.9457061810712182,0.8991164329147249,0.9639513465409116,0.9116520071975991,0.9407316505513382,0.9576224084577231,0.9717130790894638,0.8922180494023529,1.0,0.9801091790795393,0.9274013639016456,0.9844484715737473,0.9848064705170811,0.9168907049628872,0.9788841133314742,0.9847798201439661,0.9689648516900374,0.9598732458881208
Richer Than Errybody (feat. YoungBoy Never Broke Again & DaBaby)_Gucci Mane,0.9698175764303596,0.9593251062882229,0.9838990547665245,0.9571514971333674,0.9752394459831512,0.985852207631322,0.9721344278459307,0.9556006891502498,0.9528992404921931,0.9013086095182906,0.9404969824705031,0.9129688587805704,0.917596403549958,0.9426315815021663,0.9718803842013017,0.8928181297180424,0.9734727723013493,0.9513646069256807,0.9670237061331712,0.9149056357499392,0.963978603416979,0.9263385772434014,0.9795372054464427,0.942784771312003,0.9653057829227887,0.9672017395762609,0.964020883605528,0.900334280914666,0.9801091790795393,1.0,0.9477677114899393,0.9907889397787766,0.9770137129209401,0.9412451614148115,0.978812628941667,0.9858443499609391,0.9818508755545782,0.9609487481277533
Saint-Tropez_Post Malone,0.941235113186816,0.921630093750953,0.944564055864718,0.9241321153345599,0.9437623083793667,0.948464189337245,0.9361149271609374,0.9323317066620038,0.9328738481249828,0.8819843860277337,0.9115934687796471,0.9118521693536659,0.8774823511585332,0.9047984651338189,0.9455588865759542,0.8594445507564892,0.9417311186590466,0.9285299419111452,0.9422177287967477,0.91414507032914,0.9418285354126184,0.9112140364958955,0.9360037446777634,0.9256401718850873,0.9238269814240444,0.945344600620953,0.9398287859578951,0.8511884271302929,0.9274013639016456,0.9477677114899393,1.0,0.9415737724630299,0.935535964481099,0.9242253170315902,0.9489915606393762,0.9477648762837558,0.9403627960460614,0.9394279769274464
Satish_Tee Grizzley,0.9732413183726605,0.9603682433576934,0.9795549809877057,0.9554201926445052,0.9769720763143043,0.9895784391706479,0.9766237696912048,0.9584230726926433,0.9507947963888063,0.9064393519878571,0.9387177118541351,0.903632729725813,0.8967985446868423,0.9433178019095274,0.9816167503753284,0.8960046358113819,0.9683751638165194,0.949593718759365,0.9631596905213151,0.897158890000073,0.9581828172537403,0.9158511342501205,0.9779708615260949,0.9406736266868045,0.9606218066862938,0.9640000529514239,0.9700979200869252,0.9011658797282517,0.9844484715737473,0.9907889397787766,0.9415737724630299,1.0,0.9868120458976346,0.9363593510216303,0.9831905680053472,0.9896480258665715,0.9829386698820646,0.9648330821466515
Self Control_YoungBoy Never Broke Again,0.952222826463338,0.9533998715864606,0.9696818244319799,0.9475716382209332,0.9682513315347873,0.9874983618879202,0.969433237716484,0.9432395822144513,0.9361719326438475,0.8879033103211699,0.919821411124078,0.8893662367799458,0.8770983217946495,0.9231343398084633,0.9760606247657878,0.8716936420981488,0.9626351292158484,0.94486214136164,0.9426668560559934,0.8879595966251274,0.9509603667361256,0.8974628961906245,0.9642539537576346,0.9202825128902652,0.9471880275701029,0.9488232405423009,0.974283054864516,0.9013014820842319,0.9848064705170811,0.9770137129209401,0.935535964481099,0.9868120458976346,1.0,0.9188027047240065,0.9727119210442221,0.984079435611628,0.9655158745991117,0.9580463511248904
Shotta Flow (Feat. Blueface) [Remix]_NLE Choppa,0.9457943222775838,0.9183088726838765,0.962073071231282,0.9843230055979324,0.9381941359409063,0.9243621087418368,0.9622503571563465,0.9845120305228289,0.9839038578053795,0.8896732834891682,0.9900879501338499,0.9596034669418118,0.9319612995654191,0.974044707773512,0.9406500381842164,0.9626101787204479,0.9527443491323401,0.9066338884689209,0.9724755291375587,0.9608780686816936,0.9549882498700831,0.9878852648822904,0.977638137187772,0.9527488418850025,0.9705239712553019,0.9681648111201003,0.883726836074712,0.8642352333551294,0.9168907049628872,0.9412451614148115,0.9242253170315902,0.9363593510216303,0.9188027047240065,1.0,0.9656830432951087,0.9459450288251877,0.944491788421838,0.951204709086584
The London (feat. J. Cole & Travis Scott)_Young Thug,0.9716160106182445,0.9553139454186631,0.985002444492963,0.974368421906893,0.9760992993110936,0.9800811414313764,0.9707469453086819,0.9812897083362748,0.9724670489052901,0.9088096550850172,0.9619259693141065,0.9434154665310284,0.9200295368805995,0.9608266666565611,0.9797388162028687,0.9173829682968526,0.9772901565678553,0.9360921934690299,0.9759854764276066,0.9365500612853753,0.9689054348962791,0.9471410710066758,0.9879540259661064,0.9380068912870153,0.9587395212783951,0.9805500900544475,0.9576063654814047,0.88499017643063,0.9788841133314742,0.978812628941667,0.9489915606393762,0.9831905680053472,0.9727119210442221,0.9656830432951087,1.0,0.9899162172442814,0.9791867484227266,0.9785650678752599
Through Da Storm_Polo G,0.9691274177411163,0.9478928062784014,0.9790196071986285,0.9595917952599905,0.972510619481428,0.9887437866341913,0.9700618123452797,0.9609005565541592,0.9523472785892139,0.8955501183313346,0.9428600351691779,0.9163238552322618,0.9054067951265503,0.94340827896125,0.9801134659809629,0.8954044171528992,0.9739361988243105,0.9437132366186287,0.9682380557058625,0.9142298394528835,0.9582919169393943,0.9233719411466121,0.9810025202897823,0.9345026326173563,0.9554351086050529,0.9701666853831883,0.9679706323226901,0.8976290327527046,0.9847798201439661,0.9858443499609391,0.9477648762837558,0.9896480258665715,0.984079435611628,0.9459450288251877,0.9899162172442814,1.0,0.9795906283161917,0.9742658854249292
Uno_Ambjaay,0.9712246672165833,0.9434707045811228,0.9704944286020923,0.9468998173847699,0.9784255413069453,0.9749125487019508,0.9779075828702918,0.9587606134541125,0.9492809810026356,0.8841682601952537,0.9441117602064992,0.8985422872111528,0.8958972927898854,0.935695397567815,0.9646889825566403,0.8955930453887315,0.9606111314255217,0.9564723865764794,0.9653663152841279,0.9052002747798049,0.9695687788452475,0.9285333862643967,0.9766860760799839,0.9478982712469376,0.9638133769347547,0.9632226756120366,0.9572749812756307,0.8817476220766047,0.9689648516900374,0.9818508755545782,0.9403627960460614,0.9829386698820646,0.9655158745991117,0.944491788421838,0.9791867484227266,0.9795906283161917,1.0,0.9592681964721873
Won't Be Late (feat. Drake)_Swae Lee,0.9421927538344814,0.932537477649193,0.9595218010901236,0.9661095331085893,0.9552935611375402,0.9568566444520048,0.9521356315264596,0.9704584141239354,0.958583727268377,0.9030457108338218,0.9501780686425443,0.9108696880501762,0.9115995940093293,0.9503214475525465,0.9700471458493094,0.9065745083804889,0.9639843766306576,0.9187984348362112,0.9716018947471671,0.9288444694472356,0.9484647843482265,0.9277395926488753,0.9739730898618284,0.93205921001204,0.9412941371018918,0.9856494144753783,0.9392779082382761,0.8605106550696605,0.9598732458881208,0.9609487481277533,0.9394279769274464,0.9648330821466515,0.9580463511248904,0.951204709086584,0.9785650678752599,0.9742658854249292,0.9592681964721873,1.0
